"","FRP No.","FRP","infection_cpcr-d0","maturity","CW","SC","CH","holdtank","TREATMENT","lowtag","hightag","treattank","where","tube9","tube12","tube26"
"1","2017-6101",6101,0,"I","115.7","3","20.4","1C","C",3001,3035,1,"drain end","84","206","415"
"2","2017-6102",6102,0,"I","110.4","4","15.4","2C","C",3004,3219,2,"drain end","18","236","439"
"3","2017-6103",6103,1,"I","83.5","3","10.8","1C","C",3007,3119,1,"drain end","46","215","409"
"4","2017-6104",6104,0,"I","81.6","3","11","3C","C",3008,3472,3,"drain end","41","259","458"
"5","2017-6105",6105,1,"I","119.8","3","19.2","2C","C",3019,3504,2,"drain end","43","234","438"
"6","2017-6106",6106,0,"M","113.8","3","20.5","3C","C",3020,3509,3,"drain end","5","241","450"
"7","2017-6107",6107,0,"M","132.9","4","29.7","7A","A",3024,3597,7,"drain end","115","350","471"
"8","2017-6108",6108,1,"I","131.9","3","19.6","3C","C",3032,3442,3,"drain end","6","255","455"
"9","2017-6109",6109,0,"I","128.8","3","18.9","7A","A",3034,3217,7,"drain end","31","351","480"
"10","2017-6110",6110,0,"I","123.4","0","19.2","8A","A",3049,3337,8,"drain end","135","331","488"
"11","2017-6111",6111,1,"I","116.8","3","16","7A","A",3052,3115,7,"drain end","90","356","468"
"12","2017-6112",6112,0,"I","115.9","4","17.1","9A","A",3053,3116,9,"drain end","28","317","499"
"13","2017-6113",6113,0,"I","126.5","3","19.1","1C","C",3062,3121,1,"drain end","78","214","419"
"14","2017-6114",6114,1,"I","122.2","3","18.4","8A","A",3067,3346,8,"drain end","142","326","484"
"15","2017-6115",6115,1,"I","110.2","3","10.1","9A","A",3068,3519,9,"drain end","33","307","514"
"16","2017-6116",6116,1,"I","120.1","3","17.1","1C","C",3072,3560,1,"drain end","76","212","417"
"17","2017-6117",6117,0,"I","116.8","3","19.3","2C","C",3074,3282,2,"drain end","42","225","440"
"18","2017-6118",6118,1,"I","124.1","3","17","2C","C",3077,3447,2,"drain end","87","240","430"
"19","2017-6119",6119,0,"I","97.7","3","13.4","3C","C",3081,3210,3,"drain end","153","258","461"
"20","2017-6120",6120,1,"I","90.8","3","12.3","3C","C",3082,3546,3,"drain end","165","248","459"
"21","2017-6121",6121,1,"I","114.6","3","14.2","7A","A",3099,3579,7,"drain end","15","352","472"
"22","2017-6122",6122,1,"I","100","3","14.5","8A","A",3100,3528,8,"drain end","133","325","489"
"23","2017-6123",6123,0,"I","112.4","3","17.5","7A","A",3101,3463,7,"drain end","82","345","473"
"24","2017-6124",6124,0,"M","120.5","3","23","7A","A",3103,3158,7,"drain end","75","347","464"
"25","2017-6125",6125,1,"I","119.4","3","18.4","9A","A",3105,3146,9,"drain end","144","303","503"
"26","2017-6126",6126,1,"I","109","3","14.6","1C","C",3108,3501,1,"drain end","79","201","418"
"27","2017-6127",6127,0,"I","108.4","3","19.3","8A","A",3110,3255,8,"drain end","37","335","497"
"28","2017-6128",6128,1,"I","121","3","18.6","2C","C",3113,3179,2,"drain end","112","231","441"
"29","2017-6129",6129,1,"I","114.1","3","16.8","5W","W",3129,3137,5,"drain end","86","299","403"
"30","2017-6130",6130,0,"I","111.4","3","11.8","8A","A",3134,3208,8,"drain end","47","339","498"
"31","2017-6131",6131,0,"I","107.4","3","19.1","9A","A",3147,3563,9,"drain end","38","314","507"
"32","2017-6132",6132,0,"I","133.7","3","22.1","1C","C",3149,3436,1,"drain end","88","205","406"
"33","2017-6133",6133,0,"I","103.6","4","11.8","2C","C",3160,3273,2,"drain end","36","223","434"
"34","2017-6134",6134,1,"I","115.1","3","14.6","7A","A",3165,3254,7,"drain end","77","353","465"
"35","2017-6135",6135,1,"I","130.8","4","30.1","8A","A",3166,3433,8,"drain end","4","327","492"
"36","2017-6136",6136,0,"M","113.6","3","21.6","8A","A",3171,3557,8,"drain end","91","321","491"
"37","2017-6137",6137,1,"I","96.9","3","13","9A","A",3172,3374,9,"drain end","81","301","500"
"38","2017-6138",6138,0,"I","118.8","3","18","3C","C",3173,3495,3,"drain end","80","247","453"
"39","2017-6139",6139,3,"M","128","3","28.5","8A","A",3181,3252,8,"drain end","104","332","493"
"40","2017-6140",6140,1,"I","110","3","15","2C","C",3183,3187,2,"drain end","8","237","429"
"41","2017-6141",6141,1,"I","122.9","3","18.9","3C","C",3200,3402,3,"drain end","123","249","451"
"42","2017-6142",6142,0,"I","96.5","3","14.3","7A","A",3203,3230,7,"drain end","65","346","474"
"43","2017-6143",6143,0,"M","118.8","4","22.3","7A","A",3216,3451,7,"drain end","10","343","479"
"44","2017-6144",6144,1,"I","128","3","17","7A","A",3225,3507,7,"drain end","14","348","477"
"45","2017-6145",6145,1,"I","112.3","3","15.3","9A","A",3232,3323,9,"drain end","59","305","505"
"46","2017-6146",6146,0,"I","106.1","4","19","9A","A",3237,3399,9,"drain end","12","309","502"
"47","2017-6147",6147,0,"I","119.5","4","18.3","1C","C",3241,3309,1,"drain end","30","204","421"
"48","2017-6148",6148,1,"I","116.1","3","17","1C","C",3251,3422,1,"drain end","56","213","405"
"49","2017-6149",6149,1,"I","115.4","3","16.3","2C","C",3253,3578,2,"drain end","64","226","437"
"50","2017-6150",6150,0,"M","130","3","27.8","9A","A",3257,3261,9,"drain end","119","312","511"
"51","2017-6151",6151,1,"I","115.7","3","15.6","3C","C",3265,3574,3,"drain end","19","243","454"
"52","2017-6152",6152,0,"M","113","3","22.5","7A","A",3270,3275,7,"drain end","32","344","467"
"53","2017-6153",6153,0,"M","113.5","4","22.1","1C","C",3281,3308,1,"drain end","11","209","404"
"54","2017-6154",6154,0,"I","124.3","3","19.3","2C","C",3284,3570,2,"drain end","68","232","436"
"55","2017-6155",6155,1,"I","93.1","3","13.6","7A","A",3286,3371,7,"drain end","66","358","476"
"56","2017-6156",6156,0,"I","120","3","17.1","3C","C",3293,3370,3,"drain end","24","242","446"
